Dist Name,Crop,Yield
Adilabad,MAIZE,2911.973076923077
Adilabad,RICE,2137.8076923076924
Adilabad,GROUNDNUT,1412.2692307692307
Adilabad,KHARIF SORGHUM,1293.5319230769232
Adilabad,WHEAT,1040.3576923076923
Agra,WHEAT,3202.596153846154
Agra,BARLEY,2807.131538461538
Agra,RICE,2058.576923076923
Agra,MAIZE,1998.9284615384615
Agra,PEARL MILLET,1533.4615384615386
Ahmedabad,RICE,1808.923076923077
Ahmedabad,WHEAT,1702.0661538461538
Ahmedabad,CASTOR,1642.6
Ahmedabad,OILSEEDS,1365.3288461538464
Ahmedabad,MAIZE,1310.2753846153848
Ahmednagar,MAIZE,1831.563076923077
Ahmednagar,WHEAT,1480.701923076923
Ahmednagar,GROUNDNUT,1275.7692307692307
Ahmednagar,SOYABEAN,1044.5734615384615
Ahmednagar,RICE,960.0384615384615
Ajmer,WHEAT,2131.028846153846
Ajmer,BARLEY,2043.723076923077
Ajmer,RICE,1329.6153846153845
Ajmer,RAPESEED AND MUSTARD,826.5853846153847
Ajmer,SOYABEAN,725.6746153846154
Akola,MAIZE,1586.7607692307693
Akola,KHARIF SORGHUM,1557.686923076923
Akola,SORGHUM,1552.7576923076922
Akola,WHEAT,1461.977307692308
Akola,GROUNDNUT,1142.4615384615386
Alappuzha,RICE,2521.6153846153848
Alappuzha,MINOR PULSES,817.4619230769232
Alappuzha,SESAMUM,295.88615384615383
Alappuzha,OILSEEDS,52.324615384615385
Alappuzha,GROUNDNUT,44.88461538461539
Aligarh,WHEAT,3126.3607692307696
Aligarh,BARLEY,3073.8965384615385
Aligarh,RICE,1948.576923076923
Aligarh,MAIZE,1827.09
Aligarh,PEARL MILLET,1737.8846153846155
Allahabad,WHEAT,2163.0284615384617
Allahabad,RICE,2043.4615384615386
Allahabad,MAIZE,1609.2592307692307
Allahabad,BARLEY,1606.5023076923076
Allahabad,PIGEONPEA,1534.6911538461538
Almorah,MAIZE,1136.0084615384617
Almorah,RICE,1068.7307692307693
Almorah,BARLEY,1053.0634615384615
Almorah,WHEAT,1045.2430769230768
Almorah,SOYABEAN,1001.376923076923
Alwar,WHEAT,3408.1284615384616
Alwar,BARLEY,2810.083076923077
Alwar,RICE,1483.7307692307693
Alwar,PEARL MILLET,1372.8846153846155
Alwar,GROUNDNUT,1343.0
Amarawati,MAIZE,1725.2742307692306
Amarawati,WHEAT,1427.5615384615385
Amarawati,KHARIF SORGHUM,1269.3753846153847
Amarawati,SORGHUM,1268.6146153846155
Amarawati,GROUNDNUT,1017.4615384615385
Ambala,WHEAT,3592.505
Ambala,RICE,3170.8076923076924
Ambala,MAIZE,2172.2253846153844
Ambala,OILSEEDS,1295.0846153846153
Ambala,RAPESEED AND MUSTARD,1158.836923076923
Amreli,WHEAT,3013.009230769231
Amreli,CASTOR,1764.7738461538463
Amreli,PEARL MILLET,1564.1153846153845
Amreli,MAIZE,1178.9057692307692
Amreli,RAPESEED AND MUSTARD,1101.6838461538462
Amritsar,WHEAT,4315.0603846153845
Amritsar,MAIZE,3038.6473076923075
Amritsar,RICE,2893.846153846154
Amritsar,SUNFLOWER,1268.96
Amritsar,RAPESEED AND MUSTARD,1127.1569230769232
Anantapur,MAIZE,3610.5296153846157
Anantapur,RICE,2558.423076923077
Anantapur,FINGER MILLET,1919.1657692307692
Anantapur,KHARIF SORGHUM,1243.0157692307691
Anantapur,SORGHUM,909.0738461538463
Aurangabad,MAIZE,1999.6257692307695
Aurangabad,WHEAT,1378.1946153846152
Aurangabad,KHARIF SORGHUM,1240.621923076923
Aurangabad,SOYABEAN,1041.3073076923079
Aurangabad,PEARL MILLET,872.5
Azamgarh,WHEAT,2437.297692307692
Azamgarh,BARLEY,1859.975
Azamgarh,RICE,1850.3461538461538
Azamgarh,PEARL MILLET,1408.6923076923076
Azamgarh,MAIZE,1376.0392307692307
Bahraich,WHEAT,2401.4823076923076
Bahraich,BARLEY,2075.5261538461536
Bahraich,RICE,1776.5
Bahraich,PEARL MILLET,1490.9615384615386
Bahraich,SUNFLOWER,1085.0265384615384
Balaghat,MAIZE,1563.591923076923
Balaghat,SORGHUM,1435.658076923077
Balaghat,KHARIF SORGHUM,1430.0961538461538
Balaghat,RICE,1256.8461538461538
Balaghat,PIGEONPEA,1052.13
Balasore,GROUNDNUT,1626.9615384615386
Balasore,WHEAT,1536.901923076923
Balasore,RICE,1476.6538461538462
Balasore,MAIZE,1317.9796153846155
Balasore,OILSEEDS,1063.7234615384616
Ballia,WHEAT,2450.212307692308
Ballia,BARLEY,1803.9011538461539
Ballia,RICE,1745.4615384615386
Ballia,PEARL MILLET,1333.6923076923076
Ballia,MAIZE,1289.4980769230767
Banaskantha,WHEAT,2657.446153846154
Banaskantha,CASTOR,1956.625
Banaskantha,MAIZE,1866.7350000000001
Banaskantha,OILSEEDS,1525.831923076923
Banaskantha,RAPESEED AND MUSTARD,1366.7873076923076
Banda,WHEAT,1570.6419230769231
Banda,BARLEY,1463.6615384615384
Banda,MAIZE,1311.785
Banda,PIGEONPEA,1229.663076923077
Banda,RICE,1171.2692307692307
Bankura,RICE,2584.5
Bankura,WHEAT,2081.199230769231
Bankura,MAIZE,1839.488076923077
Bankura,GROUNDNUT,1149.423076923077
Bankura,CHICKPEA,894.7692307692307
Banswara,WHEAT,2085.625
Banswara,BARLEY,1839.4092307692308
Banswara,GROUNDNUT,1314.6538461538462
Banswara,MAIZE,1181.9288461538463
Banswara,RAPESEED AND MUSTARD,1117.5961538461538
Barabanki,WHEAT,2765.2392307692307
Barabanki,RICE,2223.230769230769
Barabanki,BARLEY,2078.886153846154
Barabanki,PEARL MILLET,1224.9615384615386
Barabanki,PIGEONPEA,965.9042307692308
Bareilly,WHEAT,2645.9280769230772
Bareilly,BARLEY,2099.99
Bareilly,RICE,2018.2307692307693
Bareilly,MAIZE,1435.5092307692307
Bareilly,SUNFLOWER,1303.7765384615386
Barmer,BARLEY,2159.595384615385
Barmer,WHEAT,1925.408846153846
Barmer,MAIZE,992.9096153846154
Barmer,GROUNDNUT,951.9615384615385
Barmer,RAPESEED AND MUSTARD,938.0869230769232
Bastar,MAIZE,1674.1957692307692
